detection_model,metric,dataset,correlation,pvalue,significant
microsoft/deberta-v3-small,G_ACTIVE,qa,-0.08978151656638753,0.5395540877791494,False
microsoft/deberta-v3-small,G_PRESENT,abstracts,0.27944878182811445,0.05182582249478652,False
microsoft/deberta-v3-small,G_PRESENT,news,0.40141045324803226,0.004254653952204009,True
microsoft/deberta-v3-small,G_PRESENT,reviews,0.5651679188496355,2.3276048151704407e-05,True
microsoft/deberta-v3-small,G_PRESENT,qa,-0.2725426188738398,0.058147115509124096,False
microsoft/deberta-v3-small,G_PAST,abstracts,0.3367444992782741,0.01798545766481548,True
microsoft/deberta-v3-small,G_PAST,news,0.40629189908911145,0.003770923672941445,True
microsoft/deberta-v3-small,G_PAST,reviews,0.4648676367736382,0.0007648006954242764,True
microsoft/deberta-v3-small,G_PAST,qa,0.5746329886486234,1.5753741109841854e-05,True
microsoft/deberta-v3-small,G_FUTURE,abstracts,0.07496941363598034,0.6086791129156218,False
microsoft/deberta-v3-small,G_FUTURE,news,0.28484424912248935,0.04728451159864887,True
microsoft/deberta-v3-small,G_FUTURE,reviews,0.30416223667747405,0.03360331439874812,True
microsoft/deberta-v3-small,G_FUTURE,qa,-0.03390319875911027,0.8171110569704486,False
microsoft/deberta-v3-small,L_CONT_A,abstracts,-0.3754535610277732,0.00785227007186498,True
microsoft/deberta-v3-small,L_CONT_A,news,-0.3993152991209816,0.00447843872371722,True
microsoft/deberta-v3-small,L_CONT_A,reviews,-0.3647340765124766,0.009975871593459496,True
microsoft/deberta-v3-small,L_CONT_A,qa,-0.11928574042270426,0.4142912906046619,False
microsoft/deberta-v3-small,L_FUNC_A,abstracts,0.4142052909347556,0.00308902696036114,True
microsoft/deberta-v3-small,L_FUNC_A,news,0.39988508331662465,0.004416581011110461,True
microsoft/deberta-v3-small,L_FUNC_A,reviews,0.39990982326022395,0.0044139122119268995,True
microsoft/deberta-v3-small,L_FUNC_A,qa,-0.3899424913523651,0.005610692012404624,True
microsoft/deberta-v3-small,L_CONT_T,abstracts,-0.5736416508968952,1.6420469952693326e-05,True
microsoft/deberta-v3-small,L_CONT_T,news,-0.49516272599748673,0.0002978671815744527,True
microsoft/deberta-v3-small,L_CONT_T,reviews,-0.21509707419773544,0.13774383166330376,False
microsoft/deberta-v3-small,L_CONT_T,qa,0.27268927039027624,0.0580067238596842,False
microsoft/deberta-v3-small,L_FUNC_T,abstracts,-0.5528013769821082,3.8081699096655427e-05,True
microsoft/deberta-v3-small,L_FUNC_T,news,-0.45308100559723125,0.0010788823642180864,True
microsoft/deberta-v3-small,L_FUNC_T,reviews,0.11411916475843208,0.4349391034722748,False
microsoft/deberta-v3-small,L_FUNC_T,qa,0.3297008133815211,0.02069912660222028,True
microsoft/deberta-v3-small,L_PROPER_NAME,abstracts,0.09311488497962246,0.5245401336800823,False
microsoft/deberta-v3-small,L_PROPER_NAME,news,0.5120233672798926,0.00016947333063608146,True
microsoft/deberta-v3-small,L_PROPER_NAME,reviews,-0.11090486920787779,0.44806935034366235,False
microsoft/deberta-v3-small,L_PROPER_NAME,qa,0.5246420581071234,0.000108956126715484,True
microsoft/deberta-v3-small,L_PERSONAL_NAME,abstracts,0.32330570711117124,0.02345441300878836,True
microsoft/deberta-v3-small,L_PERSONAL_NAME,news,0.422647681503824,0.0024837228399315846,True
microsoft/deberta-v3-small,L_PERSONAL_NAME,reviews,0.5346741801622336,7.572492050856505e-05,True
microsoft/deberta-v3-small,L_PERSONAL_NAME,qa,0.5314192341721564,8.532036585927819e-05,True
microsoft/deberta-v3-small,L_POSSESSIVES,abstracts,0.011653374410970089,0.93665846010654,False
microsoft/deberta-v3-small,L_POSSESSIVES,news,0.14724987813353527,0.3126595689411745,False
microsoft/deberta-v3-small,L_POSSESSIVES,reviews,-0.12495633344786346,0.39228883856960756,False
microsoft/deberta-v3-small,L_POSSESSIVES,qa,0.2484031022764282,0.08524657850765772,False
microsoft/deberta-v3-small,L_ADJ_POSITIVE,abstracts,-0.3389092018794519,0.01721463396521362,True
microsoft/deberta-v3-small,L_ADJ_POSITIVE,news,-0.462526358527738,0.0008197010478987101,True
microsoft/deberta-v3-small,L_ADJ_POSITIVE,reviews,0.4888743380013504,0.00036489516504812047,True
microsoft/deberta-v3-small,L_ADJ_POSITIVE,qa,-0.5575509757844554,3.1594013657691205e-05,True
microsoft/deberta-v3-small,L_ADJ_COMPARATIVE,abstracts,-0.1217368075882247,0.4046955412828864,False
microsoft/deberta-v3-small,L_ADJ_COMPARATIVE,news,0.3629533436392947,0.01037277434003508,True
microsoft/deberta-v3-small,L_ADJ_COMPARATIVE,reviews,0.6038592796948947,4.3572016847826366e-06,True
microsoft/deberta-v3-small,L_ADJ_COMPARATIVE,qa,-0.4579523191685609,0.0009372654290366623,True
microsoft/deberta-v3-small,L_ADJ_SUPERLATIVE,abstracts,0.4539506067480822,0.0010522783151232535,True
microsoft/deberta-v3-small,L_ADJ_SUPERLATIVE,news,0.29283411790462216,0.04115915535914544,True
microsoft/deberta-v3-small,L_ADJ_SUPERLATIVE,reviews,-0.4973479050036584,0.0002773273189258925,True
microsoft/deberta-v3-small,L_ADJ_SUPERLATIVE,qa,-0.3915985274004132,0.005394128414223962,True
microsoft/deberta-v3-small,L_ADV_POSITIVE,abstracts,-0.26922764289195666,0.06139412386259645,False
microsoft/deberta-v3-small,L_ADV_POSITIVE,news,-0.40307294408297545,0.0040841246333049325,True
microsoft/deberta-v3-small,L_ADV_POSITIVE,reviews,-0.09274034979076305,0.5262167044797905,False
microsoft/deberta-v3-small,L_ADV_POSITIVE,qa,-0.4665779704183487,0.0007268072238385974,True
microsoft/deberta-v3-small,L_ADV_COMPARATIVE,abstracts,-0.26140308171637355,0.06963558441762735,False
microsoft/deberta-v3-small,L_ADV_COMPARATIVE,news,-0.4075340405456579,0.0036558333420928795,True
microsoft/deberta-v3-small,L_ADV_COMPARATIVE,reviews,-0.19318718854916345,0.18352868986759013,False
microsoft/deberta-v3-small,L_ADV_COMPARATIVE,qa,-0.46783875523582313,0.000699895276154862,True
microsoft/deberta-v3-small,L_ADV_SUPERLATIVE,abstracts,-0.2386949008102407,0.09859533401580475,False
microsoft/deberta-v3-small,L_ADV_SUPERLATIVE,news,-0.4063317426790688,0.003767183099244596,True
microsoft/deberta-v3-small,L_ADV_SUPERLATIVE,reviews,-0.18100631959272592,0.2132617320590731,False
microsoft/deberta-v3-small,L_ADV_SUPERLATIVE,qa,-0.4814533604896972,0.00046135224167195176,True
microsoft/deberta-v3-small,ST_REPETITIONS_WORDS,abstracts,0.5865220263686115,9.480990495378173e-06,True
microsoft/deberta-v3-small,ST_REPETITIONS_WORDS,news,0.5579826014409511,3.105790751087892e-05,True
microsoft/deberta-v3-small,ST_REPETITIONS_WORDS,reviews,0.07829449332339902,0.5928330348728812,False
microsoft/deberta-v3-small,ST_REPETITIONS_WORDS,qa,-0.489650306695868,0.00035594489564701886,True
microsoft/deberta-v3-small,ST_REPETITIONS_SENT,abstracts,,,False
microsoft/deberta-v3-small,ST_REPETITIONS_SENT,news,,,False
microsoft/deberta-v3-small,ST_REPETITIONS_SENT,reviews,,,False
microsoft/deberta-v3-small,ST_REPETITIONS_SENT,qa,,,False
microsoft/deberta-v3-small,L_I_PRON,abstracts,-0.21141969517465786,0.1447648746414716,False
microsoft/deberta-v3-small,L_I_PRON,news,0.3690865109289948,0.009060428783574201,True
microsoft/deberta-v3-small,L_I_PRON,reviews,0.5562148350341871,3.3307951831051475e-05,True
microsoft/deberta-v3-small,L_I_PRON,qa,0.39922145247317786,0.004488699541559073,True
microsoft/deberta-v3-small,L_HE_PRON,abstracts,0.11842617826764132,0.4176870007614531,False
