feature,metric,deberta_prompt,deberta_model,deberta_data,roberta_prompt,roberta_model,roberta_data
,L_ADJ_POSITIVE,-0.045627377946432665,-0.10021559716215847,-0.09789817054361251,-0.025820196218777014,-0.07760123575686836,-0.1342568044159047
,L_ADJ_COMPARATIVE,0.022870929389019256,0.18315074385604807,0.2714079442457497,0.01690758764315523,0.2843806201896407,0.2529796391729784
,L_ADJ_SUPERLATIVE,0.07782417737907432,0.010767703840529972,-0.015682821128814934,0.04359204656617644,0.02984288376459607,0.03163832894764542
,L_ADV_POSITIVE,0.009726865663175316,-0.1939699334371699,0.16243321625924922,-0.008983339556288874,-0.157468544772742,0.17439501505715185
,L_ADV_COMPARATIVE,0.0038227272276830566,-0.20995765279088763,0.18496516404629768,-0.014029027577399456,-0.17590683018416195,0.17510100675011242
,L_ADV_SUPERLATIVE,0.006047770199314452,-0.20514433471694893,0.1783528079513595,-0.009577726427448953,-0.17130603896721713,0.16409786792567788
,ST_REPETITIONS_WORDS,0.032478093596346104,0.22514554715122442,0.13172192174018096,0.03208121219512403,0.24067709459953354,0.14350357366272998
,ST_REPETITIONS_SENT,,,,,,
,L_I_PRON,0.03066118650982078,0.1854283711540369,-0.07538774735322731,0.043003474015886785,0.24243457876995173,-0.048547690959530744
,L_HE_PRON,0.1160066368509607,0.18791137884659037,0.09373531354894767,0.1001270052492107,0.24116319485128915,0.08032162197015334
,L_SHE_PRON,0.12223343347887801,0.2302550963442011,0.05616628253298062,0.11717918166887156,0.31694339367735114,0.05280516525427479
,L_IT_PRON,0.016130281346256874,0.13224850832420804,0.1923222711857829,0.01050986033755038,0.2198817417933117,0.20431787028745094
,L_YOU_PRON,0.03377993830615554,0.05378902903339875,-0.0332124526513333,0.023748818001959316,0.15093532546137955,0.0008157647915611682
,L_WE_PRON,0.037099285645972216,0.09204812277865257,0.027517044374247884,0.04242839421325386,0.0795200945503339,0.09150986837262026
,L_THEY_PRON,0.025153440334596884,0.08387585902392884,0.14838195955750566,0.003290608399705899,0.16354360062842674,0.15501037729250836
,L_ME_PRON,-0.007413308810445663,0.1332487656789881,0.07388963542546788,0.009084577333567129,0.12854375649059052,0.04953349643323791
,L_YOU_OBJ_PRON,0.0376275066351821,0.08854464401499934,-0.09261172960312809,0.046012888147720594,0.038304277079758704,-0.06427753026488436
,L_HIM_PRON,0.10416573728771973,0.11140283083483236,0.10237528664956022,0.10170935851678045,0.14898094112744734,0.10771754351894108
,L_HER_OBJECT_PRON,0.08770154323358251,0.23949617383927851,0.014843361858949735,0.10913798679430849,0.3065667884414297,0.022916748643144486
,L_IT_OBJECT_PRON,0.06994272604357564,0.2669168464562345,-0.14425354191750195,0.06979481253667454,0.36412820007946617,-0.08828985748033658
,L_US_PRON,0.036933024325885785,0.05023930673243602,-0.06376016023576117,0.04765733683906997,0.007968372435593308,-0.1182428465024084
,L_THEM_PRON,-0.015925349822978545,0.044205497226482045,-0.04977778224333984,-0.023848131917701944,0.1031777716632809,-0.019550373619393383
,L_MY_PRON,0.08690560241253543,0.22396053717687842,0.13591491317017435,0.08159107848389296,0.2699149679013993,0.11165215575897754
,L_YOUR_PRON,0.06900986908615168,-0.11765180668731542,0.1514815014770079,0.05599012743447445,-0.08580911789051693,0.1343084623446579
,L_HIS_PRON,0.049148745702366804,0.12747190876293954,0.06526257708285324,0.05965980100704361,0.17387303142969016,0.11943528369112842
,L_HER_PRON,0.06916550987468734,0.16486115431000853,0.0422656980078795,0.0822598200278516,0.18578286192288704,0.10648636288365616
,L_ITS_PRON,-0.08340671596527253,-0.04378722547345653,0.20344187782199727,-0.06440114805625549,-0.08135354656721838,0.2175939579770269
