feature,metric,deberta_prompt,deberta_model,deberta_data,roberta_prompt,roberta_model,roberta_data
,POS_NUM,0.009849058121433298,0.17404149585378853,0.24655664008988806,0.015293298706088967,0.24293417376077933,0.5261928359241632
,POS_PREP,0.21421886221221548,0.04311177820093917,0.25621231223692775,0.08399802859481838,0.06254137268937464,0.040229444855172235
,POS_PRO,0.2347700039498894,0.005079065345322442,0.7559802100559654,0.10470012258641265,1.4348577221982564e-05,0.865651318322355
,G_PASSIVE,0.1181959497433393,0.01233964875314521,0.0035458767461035174,0.35242274648450345,0.007689801351968804,0.008719837273120482
,G_ACTIVE,0.04158353889839864,1.6268149695735426e-05,0.8793294240418346,0.04261184670633574,1.725827918106967e-08,0.8856077611336751
,G_PRESENT,0.0038897359587389555,8.534044342753469e-05,0.42174591608074996,0.001291171198541889,4.941338223128057e-07,0.16935582106877206
,G_PAST,0.41110626930104976,6.452311182912352e-05,0.5583666448754679,0.857329594856183,8.927547242464398e-07,0.5854055955399345
,G_FUTURE,0.004602215536033597,0.011333894992167911,0.25684095699200643,0.00980950121299337,0.0019536151494003464,0.4845053895839492
,L_CONT_A,0.515293572893202,0.00013898915407952635,0.7016601340156559,0.47342565390812197,3.814819202635438e-07,0.26661301044761043
,L_FUNC_A,0.6956110270854622,0.0001674302732163923,0.5452969739776505,0.48575881580935387,2.407597746244402e-07,0.18196590003932583
,L_CONT_T,0.1138653926704715,0.00028379765894865375,0.02210470778768763,0.11513335495479396,1.5763590167467465e-05,0.006709621835137777
,L_FUNC_T,0.9602112712665366,0.06736999558591882,0.3770772421857128,0.9865233201904506,0.19292246327485668,0.10784289535180423
,L_PROPER_NAME,0.4769755556563071,0.172530298854023,0.4201267626266435,0.6510516895893633,0.38159752233657096,0.9697258318126412
,L_PERSONAL_NAME,0.03777985120984835,0.001610496014514918,0.9061873122094166,0.10882745062663082,0.00486641685729278,0.3303857761020411
,L_POSSESSIVES,0.1995713254507192,0.810788945763782,0.1619429016192071,0.046587788782030806,0.7687901329061078,0.06953425614057421
,L_ADJ_POSITIVE,0.14773431280910784,0.1622437366872507,0.3044661114147314,0.4128519244885207,0.27965292849558004,0.15815648389222337
,L_ADJ_COMPARATIVE,0.46825365511484773,0.010185089256195682,0.003796070315094951,0.5918400029406552,5.354565081509037e-05,0.007120119573418791
