detection_model,metric,model,correlation,pvalue,significant
microsoft/deberta-v3-small,POS_PART,deepseek,0.13117089866033108,0.6282271265616697,False
microsoft/deberta-v3-small,POS_PART,llama3.3,-0.10711566188309127,0.6929565427418375,False
microsoft/deberta-v3-small,POS_PART,qwen72b,-0.38362074458510304,0.14242381819985137,False
microsoft/deberta-v3-small,POS_PART,qwen32b,0.24493630896360707,0.36055505694120554,False
microsoft/deberta-v3-small,POS_PART,qwen14b,0.006839419324057322,0.9799444776823075,False
microsoft/deberta-v3-small,POS_PART,solar,-0.06107118706990794,0.822230102616278,False
microsoft/deberta-v3-small,POS_NUM,mistral,0.07103887038387169,0.7937570287550055,False
microsoft/deberta-v3-small,POS_NUM,deepseek,0.12960927322740926,0.6323590164237075,False
microsoft/deberta-v3-small,POS_NUM,llama3.3,0.34953535669781743,0.1844916104690196,False
microsoft/deberta-v3-small,POS_NUM,qwen72b,0.3668705221243762,0.16218708315525174,False
microsoft/deberta-v3-small,POS_NUM,qwen32b,-0.32093283899643665,0.22551860823761882,False
microsoft/deberta-v3-small,POS_NUM,qwen14b,0.0016611888738678748,0.9951283958437043,False
microsoft/deberta-v3-small,POS_NUM,solar,0.011662465826633904,0.9658077540879763,False
microsoft/deberta-v3-small,POS_PREP,mistral,0.061690185580042356,0.8204554681968959,False
microsoft/deberta-v3-small,POS_PREP,deepseek,0.1419180463563145,0.6000766118159475,False
microsoft/deberta-v3-small,POS_PREP,llama3.3,-0.15951042411372912,0.5551343300452918,False
microsoft/deberta-v3-small,POS_PREP,qwen72b,0.11033679385655581,0.6841607583741293,False
microsoft/deberta-v3-small,POS_PREP,qwen32b,0.3164234327110885,0.23247400919879466,False
microsoft/deberta-v3-small,POS_PREP,qwen14b,0.45951682143507394,0.07334443299023113,False
microsoft/deberta-v3-small,POS_PREP,solar,0.2526917541691323,0.34505516052852087,False
microsoft/deberta-v3-small,POS_PRO,mistral,-0.028946163587777518,0.9152540565163687,False
microsoft/deberta-v3-small,POS_PRO,deepseek,0.2064155546294651,0.4430796421500897,False
microsoft/deberta-v3-small,POS_PRO,llama3.3,-0.13789893352388902,0.6105447779182129,False
microsoft/deberta-v3-small,POS_PRO,qwen72b,-0.4082393995377765,0.11646057361596511,False
microsoft/deberta-v3-small,POS_PRO,qwen32b,0.22049875649801065,0.41186098728405046,False
microsoft/deberta-v3-small,POS_PRO,qwen14b,-0.049071501192601494,0.8567826386590541,False
microsoft/deberta-v3-small,POS_PRO,solar,-0.11792321354194853,0.6635963402700391,False
microsoft/deberta-v3-small,G_PASSIVE,mistral,0.30079181882787775,0.257619867851507,False
microsoft/deberta-v3-small,G_PASSIVE,deepseek,0.3151765399059354,0.23442081338501086,False
microsoft/deberta-v3-small,G_PASSIVE,llama3.3,0.24968815279259512,0.35101269349072883,False
microsoft/deberta-v3-small,G_PASSIVE,qwen72b,0.2750903711913807,0.3024602678340487,False
microsoft/deberta-v3-small,G_PASSIVE,qwen32b,0.20424866620839988,0.4479869768020247,False
microsoft/deberta-v3-small,G_PASSIVE,qwen14b,0.48607621776307913,0.056261201324406276,False
microsoft/deberta-v3-small,G_PASSIVE,solar,0.2520202529391152,0.3463820601451816,False
microsoft/deberta-v3-small,G_ACTIVE,mistral,-0.013029412375738209,0.9618026916014846,False
microsoft/deberta-v3-small,G_ACTIVE,deepseek,0.12826059439046067,0.6359357009678861,False
microsoft/deberta-v3-small,G_ACTIVE,llama3.3,0.0015923066116632634,0.9953303979418915,False
microsoft/deberta-v3-small,G_ACTIVE,qwen72b,-0.41258868184678865,0.11224321462224451,False
microsoft/deberta-v3-small,G_ACTIVE,qwen32b,0.14552752576862385,0.5907374343030517,False
microsoft/deberta-v3-small,G_ACTIVE,qwen14b,-0.1267816062365705,0.6398666492648455,False
microsoft/deberta-v3-small,G_ACTIVE,solar,-0.14326812102831255,0.5965764809285817,False
microsoft/deberta-v3-small,G_PRESENT,mistral,0.1731817186720285,0.5212565809814516,False
microsoft/deberta-v3-small,G_PRESENT,deepseek,-0.03324332304738009,0.9027251785267723,False
microsoft/deberta-v3-small,G_PRESENT,llama3.3,0.08247551541646037,0.7613880180038933,False
microsoft/deberta-v3-small,G_PRESENT,qwen72b,0.11533318824227387,0.6705926792664321,False
microsoft/deberta-v3-small,G_PRESENT,qwen32b,0.3990000883582047,0.12578350040275735,False
